time;host_name;host_id;energy;vm_policy;link_policy;wf_policy;dataset
6425;h_10;10.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_9;9.0;214.1576;LFF;BLA;Priority;dataset-medium
6425;h_8;8.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_7;7.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_6;6.0;214.1773;LFF;BLA;Priority;dataset-medium
6425;h_5;5.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_4;4.0;214.1312;LFF;BLA;Priority;dataset-medium
6425;h_3;3.0;214.1568;LFF;BLA;Priority;dataset-medium
6425;h_2;2.0;214.1805;LFF;BLA;Priority;dataset-medium
6425;h_1;1.0;214.2252;LFF;BLA;Priority;dataset-medium
6425;h_0;0.0;214.1782;LFF;BLA;Priority;dataset-medium
6425;h_11;11.0;214.1841;LFF;BLA;Priority;dataset-medium
6425;h_10;10.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_9;9.0;214.1576;LFF;BLA;Priority;dataset-medium
6425;h_8;8.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_7;7.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_6;6.0;214.1773;LFF;BLA;Priority;dataset-medium
6425;h_5;5.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_4;4.0;214.1312;LFF;BLA;Priority;dataset-medium
6425;h_3;3.0;214.1568;LFF;BLA;Priority;dataset-medium
6425;h_2;2.0;214.1805;LFF;BLA;Priority;dataset-medium
6425;h_1;1.0;214.2252;LFF;BLA;Priority;dataset-medium
6425;h_0;0.0;214.1782;LFF;BLA;Priority;dataset-medium
6425;h_11;11.0;214.1841;LFF;BLA;Priority;dataset-medium
6425;h_10;10.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_9;9.0;214.1576;LFF;BLA;Priority;dataset-medium
6425;h_8;8.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_7;7.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_6;6.0;214.1773;LFF;BLA;Priority;dataset-medium
6425;h_5;5.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_4;4.0;214.1312;LFF;BLA;Priority;dataset-medium
6425;h_3;3.0;214.1568;LFF;BLA;Priority;dataset-medium
6425;h_2;2.0;214.1805;LFF;BLA;Priority;dataset-medium
6425;h_1;1.0;214.2252;LFF;BLA;Priority;dataset-medium
6425;h_0;0.0;214.1782;LFF;BLA;Priority;dataset-medium
6425;h_11;11.0;214.1841;LFF;BLA;Priority;dataset-medium
6425;h_10;10.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_9;9.0;214.1576;LFF;BLA;Priority;dataset-medium
6425;h_8;8.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_7;7.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_6;6.0;214.1773;LFF;BLA;Priority;dataset-medium
6425;h_5;5.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_4;4.0;214.1312;LFF;BLA;Priority;dataset-medium
6425;h_3;3.0;214.1568;LFF;BLA;Priority;dataset-medium
6425;h_2;2.0;214.1805;LFF;BLA;Priority;dataset-medium
6425;h_1;1.0;214.2252;LFF;BLA;Priority;dataset-medium
6425;h_0;0.0;214.1782;LFF;BLA;Priority;dataset-medium
6425;h_11;11.0;214.1841;LFF;BLA;Priority;dataset-medium
6425;h_10;10.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_9;9.0;214.1576;LFF;BLA;Priority;dataset-medium
6425;h_8;8.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_7;7.0;214.1823;LFF;BLA;Priority;dataset-medium
6425;h_6;6.0;214.1773;LFF;BLA;Priority;dataset-medium
6425;h_5;5.0;214.3758;LFF;BLA;Priority;dataset-medium
6425;h_4;4.0;214.1312;LFF;BLA;Priority;dataset-medium
6425;h_3;3.0;214.1568;LFF;BLA;Priority;dataset-medium
6425;h_2;2.0;214.1805;LFF;BLA;Priority;dataset-medium
6425;h_1;1.0;214.2252;LFF;BLA;Priority;dataset-medium
6425;h_0;0.0;214.1782;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6455;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6455;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6455;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6455;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6455;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6455;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6455;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6455;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6455;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6455;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6457;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6457;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6457;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6457;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6457;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6457;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6457;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6457;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6457;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6457;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6459;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6459;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6459;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6459;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6459;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6459;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6459;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6459;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6459;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6459;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6459;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6459;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6459;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6459;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6459;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6459;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6459;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6459;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6459;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6459;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6459;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6459;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6459;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6459;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6459;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6459;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6459;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6459;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6459;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6459;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6459;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6459;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6459;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6459;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6459;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6459;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6459;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6459;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6459;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6459;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
6459;h_7;7.0;215.2682;LFF;BLA;Priority;dataset-medium
6459;h_6;6.0;215.2632;LFF;BLA;Priority;dataset-medium
6459;h_5;5.0;215.4626;LFF;BLA;Priority;dataset-medium
6459;h_4;4.0;215.2168;LFF;BLA;Priority;dataset-medium
6459;h_3;3.0;215.2425;LFF;BLA;Priority;dataset-medium
6459;h_2;2.0;215.2664;LFF;BLA;Priority;dataset-medium
6459;h_1;1.0;215.3113;LFF;BLA;Priority;dataset-medium
6459;h_0;0.0;215.2641;LFF;BLA;Priority;dataset-medium
6459;h_11;11.0;215.27;LFF;BLA;Priority;dataset-medium
6459;h_10;10.0;215.2682;LFF;BLA;Priority;dataset-medium
6459;h_9;9.0;215.2434;LFF;BLA;Priority;dataset-medium
6459;h_8;8.0;215.4626;LFF;BLA;Priority;dataset-medium
