time;host_name;host_id;energy;vm_policy;link_policy;wf_policy
TOTAL;;;2583.5394;LFF;BLA;Priority
6455;h_11;11.0;215.27;LFF;BLA;Priority
6455;h_10;10.0;215.2682;LFF;BLA;Priority
6455;h_9;9.0;215.2434;LFF;BLA;Priority
6455;h_8;8.0;215.4626;LFF;BLA;Priority
6455;h_7;7.0;215.2682;LFF;BLA;Priority
6455;h_6;6.0;215.2632;LFF;BLA;Priority
6455;h_5;5.0;215.4626;LFF;BLA;Priority
6455;h_4;4.0;215.2168;LFF;BLA;Priority
6455;h_3;3.0;215.2425;LFF;BLA;Priority
6455;h_2;2.0;215.2664;LFF;BLA;Priority
6455;h_1;1.0;215.3113;LFF;BLA;Priority
6455;h_0;0.0;215.2641;LFF;BLA;Priority
TOTAL;;;2583.5394;LFF;BLA;Priority
6455;h_11;11.0;215.27;LFF;BLA;Priority
6455;h_10;10.0;215.2682;LFF;BLA;Priority
6455;h_9;9.0;215.2434;LFF;BLA;Priority
6455;h_8;8.0;215.4626;LFF;BLA;Priority
6455;h_7;7.0;215.2682;LFF;BLA;Priority
6455;h_6;6.0;215.2632;LFF;BLA;Priority
6455;h_5;5.0;215.4626;LFF;BLA;Priority
6455;h_4;4.0;215.2168;LFF;BLA;Priority
6455;h_3;3.0;215.2425;LFF;BLA;Priority
6455;h_2;2.0;215.2664;LFF;BLA;Priority
6455;h_1;1.0;215.3113;LFF;BLA;Priority
6455;h_0;0.0;215.2641;LFF;BLA;Priority
TOTAL;;;2583.5394;LFF;BLA;Priority
6455;h_11;11.0;215.27;LFF;BLA;Priority
6455;h_10;10.0;215.2682;LFF;BLA;Priority
6455;h_9;9.0;215.2434;LFF;BLA;Priority
6455;h_8;8.0;215.4626;LFF;BLA;Priority
6455;h_7;7.0;215.2682;LFF;BLA;Priority
6455;h_6;6.0;215.2632;LFF;BLA;Priority
6455;h_5;5.0;215.4626;LFF;BLA;Priority
6455;h_4;4.0;215.2168;LFF;BLA;Priority
6455;h_3;3.0;215.2425;LFF;BLA;Priority
6455;h_2;2.0;215.2664;LFF;BLA;Priority
6455;h_1;1.0;215.3113;LFF;BLA;Priority
6455;h_0;0.0;215.2641;LFF;BLA;Priority
TOTAL;;;2583.5394;LFF;BLA;Priority
6455;h_11;11.0;215.27;LFF;BLA;Priority
6455;h_10;10.0;215.2682;LFF;BLA;Priority
6455;h_9;9.0;215.2434;LFF;BLA;Priority
6455;h_8;8.0;215.4626;LFF;BLA;Priority
6455;h_7;7.0;215.2682;LFF;BLA;Priority
6455;h_6;6.0;215.2632;LFF;BLA;Priority
6455;h_5;5.0;215.4626;LFF;BLA;Priority
6455;h_4;4.0;215.2168;LFF;BLA;Priority
6455;h_3;3.0;215.2425;LFF;BLA;Priority
6455;h_2;2.0;215.2664;LFF;BLA;Priority
6455;h_1;1.0;215.3113;LFF;BLA;Priority
6455;h_0;0.0;215.2641;LFF;BLA;Priority
TOTAL;;;2583.5394;LFF;BLA;Priority
6455;h_11;11.0;215.27;LFF;BLA;Priority
6455;h_10;10.0;215.2682;LFF;BLA;Priority
6455;h_9;9.0;215.2434;LFF;BLA;Priority
6455;h_8;8.0;215.4626;LFF;BLA;Priority
6455;h_7;7.0;215.2682;LFF;BLA;Priority
